z,logMstar,logSFR,source
10,7.45241809672387,-0.22540983606557363,smooth-sn (blue)
10,7.461778471138846,-0.22540983606557363,smooth-sn (blue)
10,7.471138845553822,-0.21311475409836067,smooth-sn (blue)
10,7.480499219968799,-0.21311475409836067,smooth-sn (blue)
10,7.489859594383775,-0.2008196721311477,smooth-sn (blue)
10,7.4992199687987515,-0.2008196721311477,smooth-sn (blue)
10,7.508580343213728,-0.1885245901639343,smooth-sn (blue)
10,7.517940717628705,-0.17622950819672134,smooth-sn (blue)
10,7.527301092043682,-0.17622950819672134,smooth-sn (blue)
10,7.536661466458659,-0.16393442622950838,smooth-sn (blue)
10,7.546021840873635,-0.16393442622950838,smooth-sn (blue)
10,7.555382215288612,-0.15163934426229497,smooth-sn (blue)
10,7.564742589703588,-0.15163934426229497,smooth-sn (blue)
10,7.574102964118564,-0.139344262295082,smooth-sn (blue)
10,7.583463338533541,-0.12704918032786905,smooth-sn (blue)
10,7.592823712948518,-0.12704918032786905,smooth-sn (blue)
10,7.6021840873634945,-0.11475409836065564,smooth-sn (blue)
10,7.611544461778472,-0.11475409836065564,smooth-sn (blue)
10,7.620904836193448,-0.10245901639344268,smooth-sn (blue)
10,7.6302652106084246,-0.10245901639344268,smooth-sn (blue)
10,7.639625585023401,-0.09016393442622972,smooth-sn (blue)
10,7.648985959438377,-0.07786885245901631,smooth-sn (blue)
10,7.658346333853354,-0.07786885245901631,smooth-sn (blue)
10,7.66770670826833,-0.06557377049180335,smooth-sn (blue)
10,7.677067082683307,-0.06557377049180335,smooth-sn (blue)
10,7.686427457098284,-0.053278688524589946,smooth-sn (blue)
10,7.695787831513261,-0.053278688524589946,smooth-sn (blue)
10,7.7051482059282375,-0.040983606557376984,smooth-sn (blue)
10,7.714508580343214,-0.028688524590164022,smooth-sn (blue)
10,7.72386895475819,-0.028688524590164022,smooth-sn (blue)
10,7.733229329173167,-0.016393442622950616,smooth-sn (blue)
10,7.742589703588143,-0.016393442622950616,smooth-sn (blue)
10,7.75195007800312,-0.004098360655737654,smooth-sn (blue)
10,7.761310452418097,-0.004098360655737654,smooth-sn (blue)
10,7.770670826833074,0.008196721311475308,smooth-sn (blue)
10,7.78003120124805,0.020491803278688492,smooth-sn (blue)
10,7.789391575663027,0.020491803278688492,smooth-sn (blue)
10,7.798751950078003,0.032786885245901676,smooth-sn (blue)
10,7.8081123244929795,0.032786885245901676,smooth-sn (blue)
10,7.817472698907956,0.04508196721311486,smooth-sn (blue)
10,7.826833073322932,0.04508196721311486,smooth-sn (blue)
10,7.83619344773791,0.05737704918032782,smooth-sn (blue)
10,7.845553822152886,0.069672131147541,smooth-sn (blue)
10,7.854914196567863,0.069672131147541,smooth-sn (blue)
10,7.86427457098284,0.08196721311475419,smooth-sn (blue)
10,7.873634945397816,0.08196721311475419,smooth-sn (blue)
10,7.8829953198127924,0.09426229508196715,smooth-sn (blue)
10,7.892355694227769,0.09426229508196715,smooth-sn (blue)
10,7.901716068642745,0.10655737704918034,smooth-sn (blue)
10,7.9110764430577225,0.11885245901639352,smooth-sn (blue)
10,7.920436817472699,0.11885245901639352,smooth-sn (blue)
10,7.929797191887675,0.13114754098360648,smooth-sn (blue)
10,7.939157566302653,0.13114754098360648,smooth-sn (blue)
10,5.196567862714509,-3.0163934426229506,hyper-sn (teal)
10,5.205928237129485,-3.004098360655738,hyper-sn (teal)
10,5.215288611544461,-3.004098360655738,hyper-sn (teal)
10,5.224648985959439,-3.004098360655738,hyper-sn (teal)
10,5.234009360374415,-2.9795081967213113,hyper-sn (teal)
10,5.2433697347893915,-2.9672131147540988,hyper-sn (teal)
10,5.252730109204368,-2.9549180327868854,hyper-sn (teal)
10,5.262090483619345,-2.942622950819672,hyper-sn (teal)
10,5.271450858034322,-2.9303278688524594,hyper-sn (teal)
10,5.280811232449298,-2.918032786885246,hyper-sn (teal)
10,5.290171606864274,-2.89344262295082,hyper-sn (teal)
10,5.299531981279252,-2.8811475409836067,hyper-sn (teal)
10,5.308892355694228,-2.8688524590163933,hyper-sn (teal)
10,5.318252730109204,-2.85655737704918,hyper-sn (teal)
10,5.327613104524181,-2.8442622950819674,hyper-sn (teal)
10,5.336973478939157,-2.831967213114754,hyper-sn (teal)
10,5.3463338533541345,-2.8196721311475406,hyper-sn (teal)
10,5.355694227769111,-2.807377049180328,hyper-sn (teal)
10,5.365054602184087,-2.7827868852459012,hyper-sn (teal)
